Participant Private ID,other_languages,own_dialect,lang.variety,party,party-text,social_desirability_A-quantised,social_desirability_B-quantised,social_desirability_C-quantised,social_desirability_D-quantised,social_desirability_E-quantised,social_desirability_F-quantised,social_desirability_G-quantised,social_desirability_H-quantised,social_desirability_I-quantised,populism_A,populism_B,populism_C,populism_D,political_spectrum,political_spectrum_other,political_spectrum_other-text,political_orientation_A,political_orientation_B,political_orientation_C,political_orientation_D,Participant Status,Participant OS,Participant Browser,Task Name,counterbalance-nimi,counterbalance-x3xi,counterbalance-xq3l,randomiser-rtb5,age,gender,state_of_residence,education_school,education_profession1,education_profession2,income,profession,profession-text,education_profession1_sum,education_school_sum
11356342,nein,1,Hochdeutsch,Ich möchte die Frage nicht beantworten,NA,2,1,2,1,2,2,2,2,1,4,5,3,3,50,NA,NA,3,5,3,5,complete,Linux x86_64,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_7,Speaker Gender M,52,Männlich,Berlin,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Kein zweiter Abschluss,1250 bis unter 1500 Euro,Nicht berufstätig (Hausfrau/Hausmann),NA,low,middle
11356355,nein,2,Hochdeutsch,BSW,NA,2,1,2,1,2,2,2,1,2,4,4,3,5,33,NA,NA,4,5,3,5,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_3,Speaker Gender M,54,Männlich,Baden-Württemberg,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,Berufsfachschulabschluss,Abgeschlossene kaufmännische Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,low
11356389,NA,1,Hochdeutsch,AfD,NA,2,1,1,1,2,1,2,2,2,5,5,5,5,100,NA,NA,1,5,5,5,complete,Mac OS 10.15.7,Chrome 126.0.0.0,(socio-)demographics,F_6,NA,NA,Speaker Gender F,56,Männlich,Berlin,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Berufsfachschulabschluss,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,middle
11356443,NA,2,Hochdeutsch,CDU/CSU,NA,1,1,2,1,2,2,2,1,1,3,5,4,1,96,NA,NA,1,5,3,5,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,M_vs._F_33,NA,Speaker Gender M vs. F,50,Männlich,Bayern,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Fachschulabschluss,Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11356470,sächsisch,6,Schwäbisch,AfD,NA,2,1,2,1,2,2,1,2,2,5,4,4,3,84,NA,NA,3,5,5,5,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,M_vs._F_4,NA,Speaker Gender M vs. F,59,Männlich,Baden-Württemberg,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,2000 bis unter 2500 Euro,Pensionär/in oder Rentner/in (früher berufstätig),NA,middle,middle
11356514,NA,4,Thüringisch,Ich würde eine ungültige Stimme abgeben,NA,1,2,2,1,1,1,1,2,1,4,3,4,2,55,NA,NA,1,4,3,3,complete,Windows 10,Chrome 109.0.0.0,(socio-)demographics,NA,NA,M_6,Speaker Gender M,37,Männlich,Thüringen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,1000 bis unter 1250 Euro,Zurzeit arbeitslos,NA,high,high
11356556,NA,1,Hochdeutsch,FDP,NA,2,1,1,1,2,1,1,1,1,1,1,1,1,50,NA,NA,1,3,1,1,complete,Mac OS 10.15.7,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_9,Speaker Gender M,47,Männlich,Hamburg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11356762,nein,1,Hochdeutsch,AfD,NA,1,1,2,1,1,2,2,1,2,3,3,3,3,64,NA,NA,3,3,3,3,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,M_vs._F_16,NA,Speaker Gender M vs. F,57,Männlich,Bremen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,middle
11356797,NA,4,berlinerisch,AfD,NA,1,2,2,1,2,1,2,1,2,3,3,2,4,64,NA,NA,4,3,4,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,NA,M_5,Speaker Gender M,29,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufsfachschulabschluss,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,high
11356797,NA,4,Anderer Dialekt,AfD,NA,1,2,2,1,2,1,2,1,2,3,3,2,4,64,NA,NA,4,3,4,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,NA,M_5,Speaker Gender M,29,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufsfachschulabschluss,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,high
11356813,Viel Englisch im Alltag. :),1,Hochdeutsch,Andere,Tierschutzpartei :),1,1,1,1,2,1,2,2,1,4,4,3,3,1,NA,NA,4,2,5,2,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,F_2,NA,NA,Speaker Gender F,31,Männlich,Nordrhein-Westfalen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Teilfacharbeiterabschluss,1000 bis unter 1250 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,low,middle
11356815,nein,1,Hochdeutsch,DIE LINKE,NA,2,1,2,1,2,2,2,2,1,1,1,1,3,0,NA,NA,1,1,4,1,complete,Windows 10,Firefox 127.0,(socio-)demographics,F_9,NA,NA,Speaker Gender F,59,Männlich,Brandenburg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Fachhochschulabschluss,Kein zweiter Abschluss,1000 bis unter 1250 Euro,Zurzeit arbeitslos,NA,high,high
11356928,NA,2,Hessisch,SPD,NA,1,1,2,1,2,2,1,2,2,2,1,1,1,44,NA,NA,2,2,1,1,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,NA,M_11,Speaker Gender M,35,Männlich,Hessen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11356966,"Türkisch, Arabisch, Chinesisch, (mehrsprachige Nachbarschaft)",1,Hochdeutsch,Ich möchte die Frage nicht beantworten,NA,1,1,2,1,1,1,1,1,2,4,5,4,5,52,NA,NA,3,5,4,2,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,F_8,NA,NA,Speaker Gender F,31,Männlich,Nordrhein-Westfalen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Anderer Abschluss und zwar:,Kein zweiter Abschluss,1000 bis unter 1250 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,NA,middle
11356966,"Türkisch, Arabisch, Chinesisch, (mehrsprachige Nachbarschaft)",1,Dialekt/Sprache aus dem nicht-deutschsprachigen Ausland,Ich möchte die Frage nicht beantworten,NA,1,1,2,1,1,1,1,1,2,4,5,4,5,52,NA,NA,3,5,4,2,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,F_8,NA,NA,Speaker Gender F,31,Männlich,Nordrhein-Westfalen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Anderer Abschluss und zwar:,Kein zweiter Abschluss,1000 bis unter 1250 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,NA,middle
11357472,hgzgzzzt,5,Hochdeutsch,DIE LINKE,NA,1,2,2,1,2,1,1,2,1,2,4,3,2,62,NA,NA,3,4,2,3,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_1,Speaker Gender M,45,Männlich,Nordrhein-Westfalen,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,Teilfacharbeiterabschluss,Teilfacharbeiterabschluss,1250 bis unter 1500 Euro,Zurzeit in Kurzarbeit,NA,low,low
11357550,Nein,1,Hochdeutsch,CDU/CSU,NA,1,1,1,2,1,2,1,2,2,2,3,1,5,69,NA,NA,1,4,1,5,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,M_vs._F_10,NA,Speaker Gender M vs. F,54,Männlich,Hessen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Abgeschlossene kaufmännische Lehre,7500 bis unter 10000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11357550,Nein,1,Hessisch,CDU/CSU,NA,1,1,1,2,1,2,1,2,2,2,3,1,5,69,NA,NA,1,4,1,5,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,M_vs._F_10,NA,Speaker Gender M vs. F,54,Männlich,Hessen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Abgeschlossene kaufmännische Lehre,7500 bis unter 10000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11357894,Hamburg ,5,Alemannisch,SPD,NA,1,1,2,2,1,1,2,1,1,2,2,2,3,46,NA,NA,3,3,4,2,complete,Linux x86_64,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_2,Speaker Gender M,21,Männlich,Hamburg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufliches Praktikum oder Volontariat,Meister/in oder Technikerabschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,NA,high
11357601,NA,3,Sächsisch,SPD,NA,1,1,1,1,1,2,1,2,1,4,3,4,4,56,NA,NA,4,4,3,4,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,F_11,NA,NA,Speaker Gender F,32,Männlich,Sachsen-Anhalt,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Bachelor),Hochschulabschluss (Bachelor),2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11357983,.,2,Ostdeutsch,AfD,NA,1,2,1,1,1,1,1,1,1,2,3,2,3,61,NA,NA,1,2,3,3,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,M_vs._F_12,NA,Speaker Gender M vs. F,22,Männlich,Berlin,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Teilfacharbeiterabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,1250 bis unter 1500 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,low,middle
11358157,NA,4,Hochdeutsch,AfD,NA,1,1,2,1,1,2,2,1,1,3,3,3,3,72,NA,NA,3,3,3,3,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,NA,M_10,Speaker Gender M,37,Männlich,Hessen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Abgeschlossene kaufmännische Lehre,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11358157,NA,4,Hessisch,AfD,NA,1,1,2,1,1,2,2,1,1,3,3,3,3,72,NA,NA,3,3,3,3,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,NA,M_10,Speaker Gender M,37,Männlich,Hessen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Abgeschlossene kaufmännische Lehre,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11358503,NA,5,Schwäbisch,CDU/CSU,NA,2,1,2,1,2,2,2,2,2,1,1,3,4,60,NA,NA,1,2,1,3,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,M_vs._F_32,NA,Speaker Gender M vs. F,66,Weiblich,Baden-Württemberg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufsfachschulabschluss,Abgeschlossene kaufmännische Lehre,Ich möchte die Frage nicht beantworten,Pensionär/in oder Rentner/in (früher berufstätig),NA,low,high
11359005,nicht ,6,Alemannisch,SPD,NA,1,1,1,2,2,1,1,2,2,3,4,4,4,24,Ich möchte die Frage nicht beantworten,NA,4,4,1,4,complete,Android 10,Chrome 126.0.0.0,(socio-)demographics,F_5,NA,NA,Speaker Gender F,27,Männlich,Bremen,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Hochschulabschluss (Bachelor),Hochschulabschluss (Bachelor),4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11358970,"ja, Berlinerisch !!!!",3,venezianisch,Andere,Tierschutzpartei,1,1,2,1,1,1,1,2,1,5,4,5,5,84,NA,NA,1,1,4,2,complete,Mac OS 10.15.7,Safari 17.5,(socio-)demographics,NA,NA,M_8,Speaker Gender M,53,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Abgeschlossene kaufmännische Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11358970,"ja, Berlinerisch !!!!",3,Anderer Dialekt,Andere,Tierschutzpartei,1,1,2,1,1,1,1,2,1,5,4,5,5,84,NA,NA,1,1,4,2,complete,Mac OS 10.15.7,Safari 17.5,(socio-)demographics,NA,NA,M_8,Speaker Gender M,53,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Abgeschlossene kaufmännische Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11359154,ich weiß nicht ,1,Hochdeutsch,GRÜNE,NA,1,1,2,1,2,1,2,1,1,5,5,1,4,45,NA,NA,4,3,1,5,complete,Linux x86_64,Chrome 124.0.0.0,(socio-)demographics,NA,M_vs._F_17,NA,Speaker Gender M vs. F,39,Männlich,Mecklenburg-Vorpommern,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Bachelor),Kein zweiter Abschluss,10000 Euro und mehr,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,high,high
11359368,NA,3,Schwäbisch,CDU/CSU,NA,1,1,2,1,2,2,2,2,2,2,3,1,3,50,NA,NA,4,4,2,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,F_12,NA,NA,Speaker Gender F,49,Männlich,Baden-Württemberg,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,middle
11359410,NA,5,Fränkisch,Andere,freie wähler,2,1,2,1,2,2,2,1,2,5,3,5,1,50,Ich möchte die Frage nicht beantworten,NA,1,5,3,5,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_12,Speaker Gender M,56,Männlich,Nordrhein-Westfalen,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,low
11359930,ka,4,Hochdeutsch,AfD,NA,1,1,1,1,2,1,2,2,2,3,3,3,3,62,NA,NA,3,3,3,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,M_vs._F_9,NA,Speaker Gender M vs. F,36,Männlich,Niedersachsen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Abgeschlossene kaufmännische Lehre,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11360479,NA,6,Hochdeutsch,CDU/CSU,NA,1,1,1,1,1,1,1,1,1,5,4,5,5,91,NA,NA,4,4,5,4,complete,Linux x86_64,Edge 122.0.2365.50,(socio-)demographics,NA,M_vs._F_15,NA,Speaker Gender M vs. F,27,Männlich,Hamburg,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,Hochschulabschluss (Bachelor),Hochschulabschluss (Bachelor),3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,low
11361087,Englisch,1,Hochdeutsch,GRÜNE,NA,1,1,2,1,2,1,2,2,2,3,2,4,5,13,NA,NA,5,1,5,1,complete,Windows 10,Avast Secure Browser 126.0.0.0,(socio-)demographics,F_7,NA,NA,Speaker Gender F,43,Weiblich,Nordrhein-Westfalen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Abgeschlossene kaufmännische Lehre,1500 bis unter 2000 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,high,high
11361087,Englisch,1,Plattdeutsch,GRÜNE,NA,1,1,2,1,2,1,2,2,2,3,2,4,5,13,NA,NA,5,1,5,1,complete,Windows 10,Avast Secure Browser 126.0.0.0,(socio-)demographics,F_7,NA,NA,Speaker Gender F,43,Weiblich,Nordrhein-Westfalen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Abgeschlossene kaufmännische Lehre,1500 bis unter 2000 Euro,Teilzeit berufstätig (bis 30 Stunden/Woche),NA,high,high
11361818,NA,7,Alemannisch,SPD,NA,1,1,2,1,2,2,2,1,1,5,3,1,3,100,NA,NA,4,5,3,1,complete,Windows 7,Firefox 115.0,(socio-)demographics,NA,NA,M_8,Speaker Gender M,38,Weiblich,Baden-Württemberg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11361994,NA,4,Bairisch,CDU/CSU,NA,2,1,2,1,2,1,1,2,1,4,3,2,3,55,NA,NA,3,3,3,5,complete,Windows 10,Firefox 127.0,(socio-)demographics,F_2,NA,NA,Speaker Gender F,18,Männlich,Bayern,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,(Noch) keinen beruflichen Ausbildungs- oder Studienabschluss,Kein zweiter Abschluss,2000 bis unter 2500 Euro,Lehrling/Azubi,NA,NA,middle
11361935,NA,3,Bairisch,CDU/CSU,NA,1,2,2,1,2,1,1,2,2,4,3,1,4,64,NA,NA,2,2,2,2,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,M_vs._F_23,NA,Speaker Gender M vs. F,35,Männlich,Nordrhein-Westfalen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,7500 bis unter 10000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11362246,Arabische Sprache in der Umgebung und auch der Nachbarschaft.,1,Norddeutsch,AfD,NA,1,1,2,1,1,2,1,2,1,3,3,3,4,100,NA,NA,4,5,5,1,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_10,Speaker Gender M,26,Männlich,Bremen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Abgeschlossene kaufmännische Lehre,Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11362514,nein,1,Hochdeutsch,FDP,NA,2,1,2,1,2,2,2,2,2,2,2,3,3,54,NA,NA,3,3,3,3,complete,Mac OS 10.15.7,Safari 17.5,(socio-)demographics,NA,M_vs._F_25,NA,Speaker Gender M vs. F,40,Männlich,Schleswig-Holstein,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Kein zweiter Abschluss,2500 bis unter 3000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,middle
11362806,nein,5,Thüringisch,AfD,NA,1,1,2,1,1,2,2,2,1,4,5,4,4,78,NA,NA,3,4,4,4,complete,Windows 10,Firefox 127.0,(socio-)demographics,F_8,NA,NA,Speaker Gender F,55,Männlich,Baden-Württemberg,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,middle
11362813,nein,1,Hochdeutsch,CDU/CSU,NA,2,2,2,1,2,2,2,2,2,3,3,3,3,50,Ich möchte die Frage nicht beantworten,NA,3,3,3,3,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,M_vs._F_24,NA,Speaker Gender M vs. F,55,Männlich,Nordrhein-Westfalen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,middle
